dataset_title,publication_link,dataset_link,donor,donor_age,donor_bmi,donor_sex,organ,sample,dataset
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Artery_Coronary,<https://gtexportal.org/home/tissue/Artery_Coronary#FDonors>,,,Female,VHFBloodVasculature,<https://gtexportal.org/home/tissue/Artery_Coronary#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Artery_Coronary#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Colon_Sigmoid,<https://gtexportal.org/home/tissue/Colon_Sigmoid#FDonors>,,,Female,VHFColon,<https://gtexportal.org/home/tissue/Colon_Sigmoid#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Colon_Sigmoid#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Heart_Atrial_Appendage,<https://gtexportal.org/home/tissue/Heart_Atrial_Appendage#FDonors>,,,Female,VHFHeart,<https://gtexportal.org/home/tissue/Heart_Atrial_Appendage#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Heart_Atrial_Appendage#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Heart_Left_Ventricle,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#FDonors>,,,Female,VHFHeart,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/singleCellOverviewPage,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#FDonors>,,,Female,VHFHeart,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#FDonors_TissueBlock1>,<http://purl.org/ccf/GTEX-1ICG6-5003-SM-GHS9A>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/singleCellOverviewPage,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#FDonors>,,,Female,VHFHeart,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#FDonors_TissueBlock1>,<http://purl.org/ccf/GTEX-13N11-5002-SM-H5JDV>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Kidney_Cortex,<https://gtexportal.org/home/tissue/Kidney_Cortex#FDonors>,,,Female,VHFLeftKidney,<https://gtexportal.org/home/tissue/Kidney_Cortex#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Kidney_Cortex#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Ovary,<https://gtexportal.org/home/tissue/Ovary#FDonors>,,,Female,VHFLeftOvary,<https://gtexportal.org/home/tissue/Ovary#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Ovary#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Liver,<https://gtexportal.org/home/tissue/Liver#FDonors>,,,Female,VHFLiver,<https://gtexportal.org/home/tissue/Liver#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Liver#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/21/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/singleCellOverviewPage,<https://gtexportal.org/home/tissue/Lung#FDonors>,,,Female,VHFLung,<https://gtexportal.org/home/tissue/Lung#FDonors_TissueBlock1>,<http://purl.org/ccf/GTEX-13N11-5030-SM-H5JDW>
